Date,Open,High,Low,Close,Adj Close,Volume,5 MVA,20 MVA
10/16/2020,76.059998,76.93,73.665001,73.940002,73.940002,4693600,0,0
10/19/2020,73.970001,74.089996,70.5,70.959999,70.959999,6931300,0,0
10/20/2020,72.07,73.099998,70.650002,71.309998,71.309998,5441300,0,0
10/21/2020,71.57,71.578003,68.059998,68.370003,68.370003,4614800,0,0
10/22/2020,68.503998,72.529999,68.400002,70.839996,70.839996,5212100,0,0
10/23/2020,72.300003,72.400002,68.800003,70.529999,70.529999,3735100,70.99166617,0
10/26/2020,70.360001,71.32,68.699997,70.239998,70.239998,3872800,70.37499883,0
10/27/2020,70.449997,71.349998,68.809998,70.669998,70.669998,3812900,70.32666533,0
10/28/2020,68.949997,69.470001,65.489998,65.739998,65.739998,6044000,69.398332,0
10/29/2020,68.349998,74.539001,66.230003,71.279999,71.279999,13776400,69.88333133,0
10/30/2020,70.800003,71.489998,66.849998,67.470001,67.470001,7070500,69.3216655,0
11/2/2020,68.019997,68.599998,66.550003,67.110001,67.110001,4650300,68.75166583,0
11/3/2020,66.75,69.25,66.589996,69.080002,69.080002,4366900,68.55833317,0
11/4/2020,68.970001,71.550003,68.918999,69.809998,69.809998,5442100,68.41499983,0
11/5/2020,71.089996,71.589996,70.160004,71.480003,71.480003,4449900,69.37166733,0
11/6/2020,71.419998,74.160004,70.870003,72.449997,72.449997,5841000,69.566667,0
11/9/2020,77.75,80.25,75.419998,77.739998,77.739998,20266800,71.27833317,0
11/10/2020,80,80.379997,73.519997,76.050003,76.050003,10499400,72.7683335,0
11/11/2020,77.050003,83.980003,76.129997,82.440002,82.440002,18576500,74.99500017,0
11/12/2020,85.18,87.93,83.830002,87.809998,87.809998,21700100,77.99500017,72.26599965
11/13/2020,86.620003,90.529999,85.220001,89.389999,89.389999,14121100,80.9799995,73.0384995
11/16/2020,100.309998,103.199997,93.300003,97.949997,97.949997,70853100,85.2299995,74.3879994
11/17/2020,97.230003,97.800003,91.599998,93.150002,93.150002,26172000,87.7983335,75.4799996
11/18/2020,93.870003,94,88.610001,88.889999,88.889999,21823500,89.93833283,76.5059994
11/19/2020,90,94.650002,89.511002,92.769997,92.769997,16002000,91.65999867,77.60249945
11/20/2020,95,98.43,94.82,97.610001,97.610001,15306300,93.2933325,78.95649955
11/23/2020,100.769997,101.769997,98.620003,101.029999,101.029999,16359600,95.2333325,80.4959996
11/24/2020,98.400002,99.889999,93.540001,98.559998,98.559998,12515300,95.33499933,81.8904996
11/25/2020,99.029999,109.290001,98.650002,109.18,109.18,25850700,98.00666567,84.0624997
11/27/2020,115.120003,130.059998,114.860001,127.029999,127.029999,43438500,104.3633323,86.8499997
11/30/2020,144,153.869995,141.050003,152.740005,152.740005,73203100,114.3583337,91.1134999
12/1/2020,177.660004,178.5,130.330002,141.009995,141.009995,125130400,121.591666,94.8084996
12/2/2020,138.630005,149.800003,128.100006,143,143,51217300,128.5866662,98.5044995
12/3/2020,143.5,159.110001,143.009995,157.259995,157.259995,38656500,138.369999,102.8769994
12/4/2020,157.589996,157.820007,148.509995,152.520004,152.520004,27704800,145.593333,106.9289994
12/7/2020,155.029999,163.979996,152.970001,159.520004,159.520004,31409800,151.0083338,111.2824998
12/8/2020,165.75,170.509995,164.300003,169.860001,169.860001,27738700,153.8616665,115.8884999
12/9/2020,170.199997,170.800003,147.199997,156.589996,156.589996,40951700,156.4583333,119.9154996
12/10/2020,151.130005,159.5,148.009995,155.690002,155.690002,22060000,158.5733337,123.5779996
12/11/2020,159.699997,163.75,155.889999,156.929993,156.929993,22069900,158.5183333,127.0339993
12/14/2020,163.399994,163.761002,152.561005,155.070007,155.070007,22467700,158.9433338,130.3179997
12/15/2020,157,157.279999,142.460007,147.220001,147.220001,36451300,156.8933333,132.7814999
12/16/2020,137.75,141.334,134.309998,137.029999,137.029999,28476300,151.4216663,134.9754998
12/17/2020,137.919998,146.970001,137.300003,144,144,32404500,149.3233337,137.7309998
12/18/2020,141.509995,145,135.059998,140.229996,140.229996,33157800,146.746666,140.1039998
